hhsex;age;educ;married;kids;lf;famstruct;race;OCCAT1;OCCAT2;income;wageinc;bussefarminc;intdivinc;kginc;ssretinc;transfothinc;norminc;knowl;logWealth
1;20;8;2;0;1;2;1;1;2;33417.0017231476;32404.3653072947;0;1.01263641585296;0;0;0;33417.0017231476;10;9.73506890091116
1;51;9;2;0;1;2;1;1;2;44556.0022975302;44556.0022975302;0;0;0;0;0;44556.0022975302;5;10.1266311038503
1;86;12;2;1;0;1;1;3;4;245058.012636416;0;-1215.16369902355;82347.5933371625;17214.8190695003;146832.280298679;0;245058.012636416;4;14.3683491467635
0;86;12;1;0;1;5;1;2;1;13317961.2349225;122529.006318208;13250347.501436;1029851.23492246;56707.6392877657;53436.8236645606;788843.767949455;10593969.276278;3;18.6642369325473
0;51;12;1;1;1;4;1;1;1;785805.858701896;253159.10396324;506318.207926479;0;0;0;0;1397438.25387708;8;16.2482463354234
0;38;12;1;2;1;4;1;2;1;4546737.50717978;2278431.93566916;-1012636.41585296;1518954.62377944;1670850.08615738;0;0;8101091.32682367;8;18.3095703963139
0;70;13;1;0;0;5;1;3;4;164047.099368179;0;0;668.340034462952;0;163034.462952326;0;164047.099368179;9;12.4634243681741
1;52;14;1;2;1;4;1;2;2;284550.832854681;237969.557725445;55695.0028719127;30.3790924755887;0;0;1721.48190695003;284550.832854681;7;14.3912527563966
0;66;12;1;0;1;5;1;3;4;205565.192418151;0;101.263641585296;67745.3762205629;117465.824238943;30379.0924755887;0;106326.823664561;8;14.8625242424847
0;52;13;1;0;1;5;1;1;1;3969534.7501436;3341700.17231476;139743.825387708;276145.950603102;209615.738081562;0;2531.5910396324;3969534.7501436;9;16.8137696364561
0;60;10;1;2;1;4;3;2;1;158983.917288914;0;146832.280298679;0;0;0;7898.56404365307;158983.917288914;8;16.0155312226025
0;62;8;1;1;0;4;1;3;4;87086.7317633544;26328.5468121769;0;0;15189.5462377944;45568.6387133831;0;87086.7317633544;10;13.9714025779212
0;48;7;1;3;1;4;3;1;3;22278.0011487651;16202.1826536473;0;0;0;0;6075.81849511775;30379.0924755887;9;10.0845583274284
0;65;5;1;0;1;5;1;2;1;62783.4577828834;0;40505.4566341183;0;0;21265.3647329121;0;62783.4577828834;9;12.5875865328158
1;42;12;2;3;1;1;3;1;1;130630.097645032;123541.642734061;0;0;0;0;7898.56404365307;130630.097645032;8;11.1788503529487
0;62;14;1;0;0;5;1;3;4;18328719.1269385;15189546.2377944;207590.465249856;1091622.05628949;433408.385985066;488090.752441126;30379.0924755887;10571924.1815049;7;18.1377128754925
0;77;8;1;0;1;5;1;2;1;239994.830557151;31391.7288914417;159996.553704767;0;0;41518.0930499713;0;239994.830557151;8;19.0806800542647
0;60;8;1;0;1;5;1;1;3;202527.283170592;214678.920160827;-13164.2734060885;1417.69098219414;0;0;0;202527.283170592;8;14.916004408717
0;62;12;1;0;1;5;1;1;1;108352.096496266;65821.3670304423;0;4050.54566341183;0;38480.1838024124;0;108352.096496266;10;14.2397319945549
0;42;9;1;0;1;5;1;1;1;135693.279724296;135693.279724296;0;162.021826536473;-141.769098219414;0;0;135693.279724296;7;11.8345015890696
0;48;14;1;2;1;4;1;2;1;21245112.0045951;6025186.6743251;7898564.04365307;1893630.09764503;295689.833429064;0;0;21245112.0045951;9;18.5160645574093
0;40;11;1;1;1;4;5;1;1;73922.4583572659;73922.4583572659;0;0;0;0;0;73922.4583572659;6;10.4585788346001
0;51;8;2;0;1;2;2;1;2;27341.1832280299;27341.1832280299;0;0;0;0;0;35442.2745548535;10;11.4772982873271
0;45;8;1;3;1;4;2;1;3;77973.0040206778;77973.0040206778;0;0;0;0;0;77973.0040206778;2;9.81465633882951
0;27;12;2;0;1;2;2;1;1;39492.8202182654;30379.0924755887;8506.14589316485;0;0;0;0;39492.8202182654;6;12.3900178834402
0;35;8;1;4;1;4;3;2;3;105314.187248708;34429.6381390006;58732.9121194716;0;0;0;11139.0005743825;105314.187248708;7;11.6889774087506
0;34;5;1;2;1;4;3;2;1;30379.0924755887;0;30379.0924755887;0;0;0;0;30379.0924755887;4;10.9154702095224
0;63;14;1;2;0;4;1;3;4;6237840.32165422;0;580240.666283745;3291068.35152211;2227800.11487651;0;0;6237840.32165422;9;19.1654806542952
0;58;8;1;0;0;5;1;3;4;531634.118322803;455686.387133831;0;4556.86387133831;12151.6369902355;58732.9121194716;0;531634.118322803;8;14.1327999751687
0;64;8;1;1;0;4;1;3;4;21265.3647329121;0;0;0;0;16202.1826536473;0;21265.3647329121;9;10.266740811835
0;46;8;1;3;1;4;3;2;3;48606.547960942;23290.637564618;22278.0011487651;0;0;0;2936.64560597358;50631.8207926479;2;11.7109563154694
0;55;12;1;0;1;5;1;2;1;0;60758.1849511775;-9.11372774267662;354.422745548535;-3037.90924755887;0;0;0;10;14.8912652576891
0;52;13;2;0;1;2;3;1;1;120503.733486502;104301.550832855;16202.1826536473;0;0;0;0;120503.733486502;7;12.8593088747773
1;71;13;2;0;1;3;1;2;1;93162.5502584721;8506.14589316485;40505.4566341183;5.06318207926479;0;44556.0022975302;0;30379.0924755887;7;15.0679306105278
1;22;12;2;0;1;2;5;1;1;4455.60022975302;4253.07294658242;0;162.021826536473;0;0;101.263641585296;12151.6369902355;9;8.1886891244442
1;29;8;2;1;1;1;1;1;2;17214.8190695003;16202.1826536473;0;0;0;0;0;17214.8190695003;10;8.45531778769815
0;56;2;1;4;1;4;3;2;3;60758.1849511775;0;60758.1849511775;0;0;0;0;60758.1849511775;10;12.6931177406308
0;62;10;1;0;0;5;1;3;4;20252.7283170592;0;0;0;0;20252.7283170592;0;20252.7283170592;10;11.8342840637814
0;52;12;1;1;1;4;1;1;1;221767.375071798;202527.283170592;0;0;9113.72774267662;0;10126.3641585296;263285.468121769;7;14.2037616853378
1;54;10;2;0;1;2;1;1;1;28353.8196438828;27341.1832280299;1113.90005743825;0;0;0;0;28353.8196438828;10;13.3939160679262
1;58;11;2;0;1;3;1;1;1;26328.5468121769;26328.5468121769;0;0;0;0;0;26328.5468121769;10;12.6082991817878
0;71;5;1;0;0;5;1;3;4;19240.0919012062;1518.95462377944;0;0;0;17214.8190695003;0;19240.0919012062;10;11.91885713089
1;77;9;2;0;0;3;1;3;4;2167041.92992533;0;569101.665709363;1173645.60597358;1518954.62377944;19240.0919012062;0;2167041.92992533;5;17.6848160234606
0;48;9;1;2;0;4;1;3;4;54682.3664560597;38480.1838024124;0;0;0;11139.0005743825;5670.76392877657;54682.3664560597;8;9.61580548008435
0;50;13;1;2;1;4;3;1;1;128604.824813326;128604.824813326;0;0;0;0;0;128604.824813326;7;12.3504759739026
0;65;13;1;0;1;5;1;2;1;1422754.16427341;0;253159.10396324;607581.849511775;506318.207926479;55695.0028719127;0;1422754.16427341;9;17.8762638651913
1;35;12;2;2;1;1;1;1;1;49619.184376795;50631.8207926479;0;0;0;0;0;49619.184376795;7;9.68470945873156
0;57;13;1;0;1;5;1;2;1;169110.281447444;0;164047.099368179;7392.2458357266;-3037.90924755887;0;0;169110.281447444;10;17.6370091136918
0;66;13;1;0;0;5;1;3;4;2035399.19586445;2005020.10338886;0;11139.0005743825;5265.70936243538;8404.88225157955;0;2035399.19586445;10;16.1525260627628
0;29;12;1;0;1;5;1;1;1;65821.3670304423;65821.3670304423;0;0;0;0;0;65821.3670304423;4;11.3385720778255
0;48;12;1;1;1;4;2;1;1;86074.0953475015;86074.0953475015;0;0;0;0;0;86074.0953475015;6;10.9250387950678
0;41;5;1;0;1;5;5;1;2;6075.81849511775;2025.27283170592;0;0;0;0;4050.54566341183;29366.4560597358;5;8.6569551337914
0;40;11;1;4;1;4;1;1;3;96200.459506031;96200.459506031;0;0;0;0;0;96200.459506031;10;12.1300012085789
0;49;9;1;0;1;5;1;2;2;295689.833429064;92149.9138426192;202527.283170592;1012.63641585296;0;0;0;295689.833429064;10;14.5302969136277
0;47;12;1;0;1;5;1;1;1;184299.827685238;175186.099942562;101.263641585296;0;5063.18207926479;8404.88225157955;0;184299.827685238;5;12.6576258578311
1;26;13;2;2;1;1;2;1;1;105314.187248708;58732.9121194716;17214.8190695003;0;23290.637564618;0;0;57720.2757036186;8;12.9408415007809
0;57;13;2;0;1;3;1;1;1;25315.910396324;25315.910396324;0;0;0;0;0;25315.910396324;6;10.8014106270521
0;58;13;1;0;1;5;1;1;1;279487.650775416;148857.553130385;23290.637564618;3432.83744974153;6177.08213670304;98225.7323377369;0;243032.73980471;7;14.5065555304324
0;55;12;1;0;1;5;1;2;1;648087.306145893;91137.2774267662;743275.129236071;10632.6823664561;0;0;0;648087.306145893;10;16.4041764420431
0;47;12;1;2;1;4;1;2;1;356448.018380241;50631.8207926479;303790.924755887;0;0;0;1924.00919012062;356448.018380241;9;16.3370094695519
0;68;14;1;0;0;5;1;3;4;236956.921309592;0;187337.736932797;13974.3825387708;-3037.90924755887;25315.910396324;14176.9098219414;303790.924755887;7;16.333126382162
1;76;3;2;0;0;3;2;3;4;8809.93681792074;0;0;0;0;8303.61860999426;0;8809.93681792074;10;9.23014299927236
1;76;12;2;0;0;3;2;3;4;102276.278001149;0;0;0;0;102276.278001149;0;102276.278001149;9;12.6574666855267
1;19;8;2;0;1;2;1;1;2;77973.0040206778;2531.5910396324;0;75947.7311889719;0;0;0;77973.0040206778;3;15.6549484625091
0;33;14;2;0;1;2;1;1;1;91137.2774267662;91137.2774267662;0;0;0;0;0;162021.826536473;5;11.7981044072039
0;39;8;1;4;1;4;1;1;3;41518.0930499713;36454.9109707065;0;0;0;0;5417.60482481333;41518.0930499713;7;8.55737498104907
0;65;12;2;0;1;3;1;1;1;86074.0953475015;65821.3670304423;0;0;0;20252.7283170592;0;86074.0953475015;10;12.493129522588
0;55;14;1;3;1;4;1;1;1;538722.573233774;84048.8225157955;6075.81849511775;15543.9689833429;433408.385985066;0;313.917288914417;303790.924755887;7;16.6586858810295
0;58;11;1;0;1;5;5;1;1;434421.022400919;506318.207926479;11139.0005743825;4961.9184376795;0;0;0;434421.022400919;8;15.778727224425
0;71;9;2;0;0;3;2;3;4;72909.821941413;0;0;0;0;72909.821941413;0;72909.821941413;8;13.5168349440376
0;65;13;1;0;1;5;1;2;1;17579368.1792074;283538.196438828;3037909.24755887;11399248.1332568;2531591.0396324;0;0;17579368.1792074;9;19.1026608036704
0;41;12;1;4;1;4;5;1;2;78985.6404365307;78985.6404365307;0;0;0;0;0;78985.6404365307;8;12.8043595450662
0;54;13;1;0;1;5;1;2;1;3999913.84261918;506318.207926479;2531591.0396324;204552.556002298;607581.849511775;0;0;4688506.6053992;10;16.7657746434711
0;46;11;1;3;1;4;1;1;1;151895.462377944;151895.462377944;0;0;0;0;0;151895.462377944;9;12.7546274861062
0;26;9;1;1;1;4;3;1;2;63796.0941987364;63796.0941987364;0;0;0;0;0;63796.0941987364;10;10.4724877403532
0;40;11;1;3;1;4;1;1;2;65821.3670304423;65821.3670304423;0;0;0;0;0;65821.3670304423;4;12.1345229366901
0;57;12;1;0;1;5;1;1;1;135693.279724296;131642.734060885;0;0;0;0;4050.54566341183;151895.462377944;8;13.1386303498682
0;80;9;2;0;1;3;1;2;3;32404.3653072947;0;3848.01838024124;0;0;28353.8196438828;0;32404.3653072947;8;13.5797882244432
0;78;12;1;0;1;5;1;2;2;10666099.3681792;115440.551407237;303790.924755887;3581695.00287191;5620132.10798392;588341.757610569;0;10666099.3681792;10;18.7698505950053
1;62;13;1;0;1;5;1;1;1;296702.469844917;175186.099942562;0;0;0;0;121516.369902355;296702.469844917;8;12.8790171187726
0;40;12;1;2;1;4;1;2;1;568089.02929351;174173.463526709;394928.202182654;283.538196438828;-1316.42734060885;0;668.340034462952;568089.02929351;9;14.7129446149881
0;23;8;2;1;1;1;1;4;4;45568.6387133831;45568.6387133831;0;0;0;0;0;45568.6387133831;6;10.0353926234161
0;63;8;1;0;1;5;1;2;1;90124.6410109133;0;82023.5496840896;0;0;0;0;114427.914991384;4;13.0575048050558
0;47;11;2;0;1;2;3;1;2;38480.1838024124;38480.1838024124;0;0;0;0;0;38480.1838024124;5;11.3474610252427
0;76;13;1;0;1;5;1;2;1;1605028.71912694;708845.491097071;546823.664560597;126579.55198162;75947.7311889719;131642.734060885;0;1605028.71912694;10;16.7073645501416
1;57;12;2;0;1;3;1;1;2;8202.35496840896;0;0;0;0;0;8202.35496840896;30379.0924755887;4;11.1690257125202
0;32;12;1;0;1;5;3;1;2;120503.733486502;120503.733486502;0;0;0;0;0;125566.915565767;6;12.9472001386087
0;69;8;1;0;0;5;1;3;4;0;162021.826536473;0;0;0;40505.4566341183;-201514.646754739;0;8;14.3426031541941
0;33;8;1;3;1;4;3;1;3;81010.9132682367;70884.5491097071;10126.3641585296;0;0;0;0;81010.9132682367;9;13.1119089195005
0;73;12;2;0;1;3;1;2;1;215691.55657668;0;53365.9391154509;33417.0017231476;0;129617.461229179;0;215691.55657668;10;15.2822321681968
0;20;9;2;0;1;2;1;4;4;5063.18207926479;4050.54566341183;0;0;0;0;1012.63641585296;1924.00919012062;6;10.0858091093301
1;77;8;2;1;0;1;2;3;4;33417.0017231476;0;0;0;0;31391.7288914417;0;33417.0017231476;9;12.1392916118398
0;61;14;1;2;1;4;1;2;1;497204.480183803;84048.8225157955;304803.56117174;46581.2751292361;33417.0017231476;0;0;497204.480183803;6;14.3131901500603
0;29;9;1;1;1;4;1;1;1;54682.3664560597;54682.3664560597;0;0;0;0;0;54682.3664560597;8;11.7890409010505
0;66;14;1;0;0;5;1;3;4;103288.914417002;0;72909.821941413;0;0;30379.0924755887;0;103288.914417002;10;15.1221121501749
0;60;8;1;0;1;5;5;1;3;111390.005743825;111390.005743825;0;0;0;0;0;111390.005743825;10;11.3918871365932
0;79;10;1;0;1;5;1;2;1;250121.194715681;0;149870.189546238;2329.0637564618;0;56707.6392877657;12151.6369902355;250121.194715681;10;16.7788745864855
0;30;2;1;2;1;4;3;1;3;27341.1832280299;27341.1832280299;0;0;0;0;0;27341.1832280299;5;2.30258509299405
