id,Rent,livingspace,NoOfRooms,lat,lon,distanceShop,dum_balcony,dum_builtinkitchen,dum_floorplan,dum_garden,dum_privateoffer
1000268,309.25,61,2,51.505241,7.1181502,0.4194437,0,0,0,0,0
1000269,1125.22,101.83,3,49.470829,8.4537001,2.8689013,1,1,0,0,0
1000270,317,66,3.5,51.34824,7.4360399,6.2056971,0,0,0,0,0
1000271,318,53,3,51.494289,7.0144701,3.3002903,0,0,0,0,0
1000274,320,63,3,51.591202,7.0215502,3.438776,0,0,0,0,0
1000276,320,46,2.5,51.473629,6.7797098,1.1097476,0,0,0,0,0
1000277,320,51,2,51.454689,7.0763202,2.6788492,0,0,0,0,0
1000282,324,55,3,51.282459,7.2518902,4.5107503,0,0,0,0,0
1000283,325,65,2,51.514679,7.1185398,7.3813562,1,0,0,0,0
1000284,325,54,2,51.168819,7.2065101,1.908546,0,0,1,1,0
1000286,580,71.779999,2,51.676311,8.3446398,5.5670528,0,1,0,0,1
1000287,329,73,4,51.276321,7.7704,6.9202695,1,0,0,1,0
1000289,330,60,3,51.276569,7.7701402,0.88562185,1,0,0,0,0
1000291,330,66,2,51.245361,7.1103601,0.33865464,1,0,0,0,0
1000292,331,48,2,51.263168,7.1901202,3.1015539,0,1,0,0,0
1000293,335,54,3,51.472221,6.77811,2.8209677,0,0,0,0,0
1000294,312,52,2,50.49836,12.13144,1.7590573,0,1,0,0,0
1000296,1150,125,4,52.44751,9.6599703,0.77165538,0,1,0,1,1
1000297,337,51,3.5,51.47538,6.7807999,0.40111077,1,0,0,0,0
1000301,340,49,2,51.506802,6.8282099,5.0071115,1,0,0,0,0
1000303,340,59,3,51.518539,7.1242299,3.6609263,1,0,0,0,0
1000304,341.01999,64,2,51.182369,7.2085199,1.0185125,1,0,1,1,0
1000306,349,68,2,51.516739,7.0713301,0.085893512,0,0,0,0,0
1000308,350,63,3,51.59161,7.0212598,8.7753325,0,0,0,0,0
1000311,350,61,3,51.542751,7.0292501,8.2692232,1,0,0,0,0
1000315,353,67,3,51.17128,7.1947398,0.3575941,0,0,1,1,0
1000318,355.64999,79,3,51.504398,7.11833,4.2572303,0,0,0,0,0
1000319,330,52.73,3,51.442162,7.3681202,5.3009338,0,0,0,0,0
1000321,357.20001,76,3,51.51442,6.7522702,3.1323905,1,0,0,0,0
1000322,359,69,2.5,51.50845,6.7814498,5.9377003,1,0,0,0,0
1000324,625,119.5,4.5,50.831841,12.89101,0.55668211,1,1,1,1,0
1000325,360,53,2,51.487041,7.0142798,3.7322409,0,0,0,0,0
1000326,360,80,3,51.516579,6.7494102,0.58232987,1,0,0,0,0
1000327,360,52,2,51.497211,6.8685198,5.8899512,1,0,0,0,0
1000329,360,65,3,51.54657,7.0390201,3.9810002,1,0,0,0,0
1000331,362.26001,82,3,51.087189,7.1157098,0.15725783,1,0,0,0,0
1000332,365,53,3,51.471519,6.78404,4.511251,1,0,0,0,0
1000333,365,63,2,51.500221,6.7547698,1.6945311,1,0,0,0,0
1000335,366,61,2,51.2342,7.1428499,1.1745214,1,0,0,0,0
1000336,366.79001,79,3.5,51.492519,6.7962499,0.84759772,1,0,0,0,0
1000340,370,72,3,51.5429,7.0306001,0.12287728,1,0,0,0,0
1000341,370,61,3,51.483688,6.9998698,2.3481114,1,0,0,0,0
1000343,370,74,3,51.5429,7.0310998,1.4702271,1,0,0,0,0
1000344,1119,118,4,53.155239,8.2337399,5.8065982,1,0,1,0,0
1000346,375,64,3,51.473511,6.7752399,2.5622754,1,0,0,1,0
1000347,375,62,2,51.503891,7.1165199,0.81251109,0,0,0,0,0
1000350,379,57,2,51.428532,6.8910599,1.5729165,0,0,0,0,0
1000351,379,69,3,51.395168,6.6998501,3.61426,1,0,0,0,0
1000354,380,79,3.5,51.542919,7.0295901,1.7282438,1,0,0,0,0
1000355,382.95999,79,3.5,51.469349,6.78192,1.2863165,1,0,0,0,0
1000357,385,49,1,51.713402,8.7945995,4.0054793,0,0,0,0,0
1000358,385,62,2,51.653149,7.10008,6.110786,0,0,0,0,0
1000362,399,61,3,51.48386,6.99965,5.5991502,1,0,0,1,0
1000363,399,66,3,51.537811,6.74158,7.5511599,1,0,0,0,0
1000364,399,64,3,51.628479,7.32129,2.3316891,0,0,0,0,0
